"pid","group","finished","self_declaration","md_total_duration_s","sd02_gender","sd03_age","sd04_ethnicity","sd05_education","kap_par_01","kap_par_02","kap_par_03","kap_par_04","kap_par_05","kap_par_06","kap_par_07","kap_par_08","kap_par_09","kap_par_10"
1,"EG-B","TRUE","Yes",658,"Female",8,"Hispanic or Latino","Bachelor's degree (BA, BS)",3.94,3.46,2.5,1.6,4.31,4.96,4.28,2.66,1.84,1.47
2,"EG-B","TRUE","Yes",677,"Female",36,"Asian","Associate's degree (AA, AS)",4.01,1.2,4.54,1.39,2.88,2.75,3.63,4.38,3.68,1.99
3,"KG","TRUE","Yes",646,"Male",6,"Black","1 or more years of college credit, no degree",2.33,3.61,3.28,3.85,1.69,3.8,2.75,4.42,2.81,2.02
4,"EG-B","TRUE","Yes",511,"Male",10,"White","Regular high school diploma",1.23,2.29,2.88,2.82,4.93,4.56,1.55,2.81,2.71,1.03
5,"EG-B","TRUE","Yes",490,"Female",27,"Asian","1 or more years of college credit, no degree",3.7,1.63,3.54,2.6,2.61,4.34,1.08,3.93,3.26,4.45
6,"KG","TRUE","Yes",751,"Female",20,"Asian","Regular high school diploma",1.17,1.85,3.96,3.46,4.06,3.94,3.83,3.7,1.19,2.64
7,"EG-B","TRUE","Yes",626,"Female",25,"White","1 or more years of college credit, no degree",3.57,2.49,1.58,1.53,1.37,3.59,1.39,4,3.63,3.78
8,"KG","TRUE","Yes",609,"Male",24,"Other","Bachelor's degree (BA, BS)",2.2,3.69,2.63,1.32,4.58,4.37,1.34,4.84,3.81,2.28
9,"EG-B","TRUE","Yes",588,"Male",16,"Black","Bachelor's degree (BA, BS)",2.57,1.63,2.83,3.65,4.2,1.64,1.78,4.98,3.95,2.78
10,"EG-B","TRUE","Yes",481,"Male",44,"Black","Regular high school diploma",4.69,2.62,3.23,4.17,3.52,2.45,4.94,4.92,3.22,4.23
11,"KG","TRUE","Yes",661,"Female",16,"Other","1 or more years of college credit, no degree",3.72,2.05,2.64,2.49,3.54,2.1,3.66,3.26,1.26,2.83
12,"EG-B","TRUE","Yes",578,"Female",51,"Black","Master's degree (MA, MS, MEng, MEd, MSW, MBA)",3.87,2.4,4.99,4.2,4.61,1.5,4.95,4.66,3.29,2.36
13,"EG-B","TRUE","Yes",582,"Male",3,"Asian","Regular high school diploma",3.87,1.45,4,4.24,4.28,3.26,2.55,4.89,3.01,4.1
14,"KG","TRUE","Yes",693,"Female",32,"Hispanic or Latino","Regular high school diploma",1.91,2.17,1.75,4.46,3,3.69,4.26,4.85,2.82,4.9
15,"KG","TRUE","Yes",682,"Female",21,"Black","1 or more years of college credit, no degree",2.64,1.53,1.43,2.69,3.91,1.01,2.08,3.4,3.8,2.65
16,"EG-B","TRUE","Yes",739,"Male",39,"Black","Bachelor's degree (BA, BS)",3.28,2.83,3.98,1.38,4.12,4.2,2.91,1.78,2.63,3.71
17,"EG-B","TRUE","Yes",552,"Female",3,"Black","Regular high school diploma",4.52,3.94,1.46,4.53,2.09,1.79,1.8,1.29,4.63,3.12
18,"KG","TRUE","Yes",665,"Female",10,"Black","Associate's degree (AA, AS)",3.38,1.22,4.99,2.15,3.86,3.67,3.98,2.63,1.93,1.51
19,"KG","TRUE","Yes",739,"Female",21,"White","Regular high school diploma",4.67,2.57,4.11,2.22,3.29,4.15,3.24,1.05,2.82,1.2
20,"KG","TRUE","Yes",489,"Male",42,"Hispanic or Latino","Bachelor's degree (BA, BS)",2.41,4.37,2.63,4.26,4.57,4.81,1.86,4.96,4.16,1.15
21,"EG-B","TRUE","Yes",514,"Female",7,"Asian","Regular high school diploma",2.02,2.59,2.11,3.35,1.11,2.53,1.79,3.97,4.78,4.85
22,"KG","TRUE","Yes",487,"Female",19,"Hispanic or Latino","Associate's degree (AA, AS)",3.86,2.83,4.83,3.65,3.72,3.11,1.23,4.22,4.11,2.39
23,"EG-B","TRUE","Yes",454,"Male",29,"Black","Bachelor's degree (BA, BS)",1.87,4.83,2.02,3.58,3.77,2.55,2.38,1.64,2.56,4.11
24,"EG-B","TRUE","Yes",608,"Male",45,"Other","Associate's degree (AA, AS)",2.77,4.1,1.48,1.91,3.28,1.53,3.49,4.27,4.42,1.89
25,"KG","TRUE","Yes",665,"Female",42,"Asian","Regular high school diploma",3.78,2.91,3.18,3.44,4.33,4.23,1.69,3.07,2.92,4.19
26,"KG","TRUE","Yes",720,"Female",46,"Hispanic or Latino","Bachelor's degree (BA, BS)",3.69,4.94,3.69,2.95,2.18,3.74,1.02,4.58,1.59,2.41
27,"KG","TRUE","Yes",704,"Male",24,"Other","Master's degree (MA, MS, MEng, MEd, MSW, MBA)",1.72,2.18,2.5,3.32,1.76,2.17,1.33,4.85,3.25,1.11
28,"EG-B","TRUE","Yes",500,"Male",29,"Black","Bachelor's degree (BA, BS)",3.93,1.73,1.59,4.25,1.68,2.68,1.76,4.06,1.64,3.58
29,"KG","TRUE","Yes",785,"Female",30,"Hispanic or Latino","Master's degree (MA, MS, MEng, MEd, MSW, MBA)",2.31,4.09,4.88,2.98,1.07,3.94,4.32,3.54,2.23,2.97
30,"EG-B","TRUE","Yes",533,"Male",43,"Black","Associate's degree (AA, AS)",2.41,4.48,1.28,1.33,1.46,4.4,2.59,4.81,4.16,2.06
31,"EG-B","TRUE","Yes",611,"Female",45,"Black","Bachelor's degree (BA, BS)",4.16,2.25,3.41,2.86,1.26,1.31,1.38,2.55,4.05,2.37
32,"EG-B","TRUE","Yes",558,"Male",35,"Other","Bachelor's degree (BA, BS)",2.46,4.66,1.78,3.39,4.22,2.14,4.56,2,4.36,1.28
33,"KG","TRUE","Yes",588,"Male",42,"Black","Bachelor's degree (BA, BS)",2.13,4.66,3.26,4.66,1.53,1.44,3.12,1.11,1.36,1.34
34,"EG-B","TRUE","Yes",619,"Female",51,"Asian","Regular high school diploma",2.04,4.23,1.59,1.19,1.36,1.89,4.3,2.41,2.29,4.79
35,"KG","TRUE","Yes",612,"Male",34,"White","Associate's degree (AA, AS)",1.11,2.41,4.3,4.27,4.57,1.19,2.14,1.85,2.99,4.07
36,"EG-B","TRUE","Yes",597,"Female",39,"Asian","Associate's degree (AA, AS)",3.63,3.7,2.32,1.35,3.94,1.24,4.11,2.26,1.74,4.84
37,"KG","TRUE","Yes",611,"Male",52,"Asian","1 or more years of college credit, no degree",3.99,2.08,2.9,2.08,3.01,3.13,1.58,2.13,2.18,4.57
38,"KG","TRUE","Yes",551,"Female",21,"Hispanic or Latino","Regular high school diploma",3.52,4.83,1.76,4.39,2.11,1.39,1.91,2.18,3.49,4.97
39,"EG-B","TRUE","Yes",550,"Female",53,"White","Associate's degree (AA, AS)",1.22,1.49,3.08,4.67,1.43,2.67,3.41,4.01,2.17,2.16
40,"EG-B","TRUE","Yes",434,"Female",43,"Hispanic or Latino","Bachelor's degree (BA, BS)",3.11,2.29,2.98,1.33,4.39,1.48,4.57,2.68,1.44,4.13
41,"KG","TRUE","Yes",562,"Male",43,"Other","Master's degree (MA, MS, MEng, MEd, MSW, MBA)",1.35,3.52,1.57,3.23,3.84,4.7,3.58,3.74,4.5,2.64
42,"KG","TRUE","Yes",549,"Female",26,"Hispanic or Latino","Regular high school diploma",2.08,1.97,4.01,1.17,4.22,1.04,2.73,4.8,3.77,2.51
43,"KG","TRUE","Yes",870,"Male",33,"Hispanic or Latino","Bachelor's degree (BA, BS)",1.01,4.71,1.04,2.04,1.06,2.93,4.59,3.02,4.41,4.83
44,"EG-B","TRUE","Yes",464,"Female",53,"Asian","Associate's degree (AA, AS)",3.83,3.37,1.71,1.75,2.01,4.03,4.78,1.76,4.82,3.02
45,"KG","TRUE","Yes",614,"Female",6,"White","Associate's degree (AA, AS)",4.19,2.44,1.45,3.27,2.61,4.65,3.51,3.29,4.78,1.2
46,"EG-B","TRUE","Yes",451,"Female",23,"Black","Master's degree (MA, MS, MEng, MEd, MSW, MBA)",1.54,3.43,3.15,1.26,2.33,4.11,1.33,3.69,1.08,1.53
